Wild,Organic,,,,,Inoc,Organic,,,,
,Estimate,Std..Error,t.value,Pr...t..,,,Estimate.1,Std..Error.1,t.value.1,Pr...t...1,
Intercept,25.33333333,2.002313477,12.65203158,1.49E-05,***,Intercept,25.33333333,2.200589147,11.51206865,2.58E-05,***
T0 vs T1,-3.833333333,3.165935588,-1.210805851,0.271494967,,T0 vs T1,-11.33333333,3.112103016,-3.641696073,0.010812961,*
T0 vs T2,-12.83333333,3.165935588,-4.053567414,0.00669904,**,T0 vs T2,-12.83333333,3.479436949,-3.688336223,0.01022891,*
T0 vs T3,-7.833333333,3.165935588,-2.474255434,0.04817896,*,T0 vs T3,-12.33333333,3.479436949,-3.544634811,0.012150597,*
T0 vs T4,-11.33333333,3.165935588,-3.57977382,0.01164627,*,T0 vs T4,-14.33333333,4.401178293,-3.256703632,0.017320183,*
,,,,,,,,,,,
,Biodynamic,,,,,,Biodynamic,,,,
,Estimate.2,Std..Error.2,t.value.2,Pr...t...2,,,Estimate.3,Std..Error.3,t.value.3,Pr...t...3,
Intercept,18.33333333,1.93792558,9.460287597,2.64E-06,***,Intercept,18.33333333,2.081665999,8.807048459,5.03E-06,***
T0 vs T1,-1.333333333,2.740640639,-0.486504255,0.637095476,,T0 vs T1,-1.666666667,2.943920289,-0.566138517,0.583780098,
T0 vs T2,-1,2.740640639,-0.364878192,0.722800761,,T0 vs T2,-2.666666667,2.943920289,-0.905821627,0.386335218,
T0 vs T3,-7.666666667,2.740640639,-2.797399469,0.018878585,*,T0 vs T3,-4.333333333,2.943920289,-1.471960144,0.171790523,
T0 vs T4,-8.666666667,2.740640639,-3.16227766,0.01011956,*,T0 vs T4,-3.333333333,2.943920289,-1.132277034,0.28393752,
,,,,,,,,,,,
,Conventional,,,,,,Conventional,,,,
,Estimate.4,Std..Error.4,t.value.4,Pr...t...4,,,Estimate.5,Std..Error.5,t.value.5,Pr...t...5,
Intercept,19.33333333,2.764571783,6.993247002,0.000212829,***,Intercept,19.33333333,2.338090389,8.268856253,8.80E-06,***
T0 vs T1,-4,3.90969491,-1.023097733,0.340311662,,T0 vs T1,-3.333333333,3.306559138,-1.008097298,0.337177609,
T0 vs T2,-4.833333333,4.371171795,-1.105729438,0.30539203,,T0 vs T2,-5,3.306559138,-1.512145947,0.16143668,
T0 vs T3,-3.333333333,5.529143566,-0.602866121,0.565609441,,T0 vs T3,-5.333333333,3.306559138,-1.612955677,0.137829589,
T0 vs T4,-10.66666667,3.90969491,-2.728260622,0.029412481,*,T0 vs T4,-8.666666667,3.306559138,-2.621052975,0.025551503,*
