sample-id	control	sample-type	stage	vineyard	sample-code	group
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical
ITS-919-B1	FALSE	Berry	T0	Organic	919-B1	Org-B
ITS-919-B2	FALSE	Berry	T0	Organic	919-B2	Org-B
ITS-919-B3	FALSE	Berry	T0	Organic	919-B3	Org-B
ITS-919-I1-D0	FALSE	Inoculated	T1	Organic	919-I1-D0	Org-I-T0
ITS-919-I1-D4	FALSE	Inoculated	T2	Organic	919-I1-D4	Org-I-T2
ITS-919-I1-D6	FALSE	Inoculated	T3	Organic	919-I1-D6	Org-I-T3
ITS-919-I1-P	FALSE	Inoculated	T4	Organic	919-I1-P	Org-I-T4
ITS-919-I2-D0	FALSE	Inoculated	T1	Organic	919-I2-D0	Org-I-T0
ITS-919-I2-D4	FALSE	Inoculated	T2	Organic	919-I2-D4	Org-I-T2
ITS-919-I2-D6	FALSE	Inoculated	T3	Organic	919-I2-D6	Org-I-T3
ITS-919-I2-P	FALSE	Inoculated	T4	Organic	919-I2-P	Org-I-T4
ITS-919-I3-D0	FALSE	Inoculated	T1	Organic	919-I3-D0	Org-I-T0
ITS-919-I3-D4	FALSE	Inoculated	T2	Organic	919-I3-D4	Org-I-T2
ITS-919-I3-D6	FALSE	Inoculated	T3	Organic	919-I3-D6	Org-I-T3
ITS-919-I3-P	FALSE	Inoculated	T4	Organic	919-I3-P	Org-I-T4
ITS-919-S1-D0	FALSE	Wild	T1	Organic	919-S1-D0	Org-W-T1
ITS-919-S1-D6	FALSE	Wild	T2	Organic	919-S1-D6	Org-W-T2
ITS-919-S1-D8	FALSE	Wild	T3	Organic	919-S1-D8	Org-W-T3
ITS-919-S1-P	FALSE	Wild	T4	Organic	919-S1-P	Org-W-T4
ITS-919-S2-D0	FALSE	Wild	T1	Organic	919-S2-D0	Org-W-T1
ITS-919-S2-D6	FALSE	Wild	T2	Organic	919-S2-D6	Org-W-T2
ITS-919-S2-D8	FALSE	Wild	T3	Organic	919-S2-D8	Org-W-T3
ITS-919-S2-P	FALSE	Wild	T4	Organic	919-S2-P	Org-W-T4
ITS-919-S3-D0	FALSE	Wild	T1	Organic	919-S3-D0	Org-W-T1
