sample-id	control	sample-type	stage	vineyard
#q2:types	categorical	categorical	categorical	categorical
ITS-919-B1	FALSE	berry	T0	Organic
ITS-919-B2	FALSE	berry	T0	Organic
ITS-919-B3	FALSE	berry	T0	Organic
ITS-919-I1-D0	FALSE	inoculated	T1	Organic
ITS-919-I1-D4	FALSE	inoculated	T2	Organic
ITS-919-I1-D6	FALSE	inoculated	T3	Organic
ITS-919-I1-P	FALSE	inoculated	T4	Organic
ITS-919-I2-D0	FALSE	inoculated	T1	Organic
ITS-919-I2-D4	FALSE	inoculated	T2	Organic
ITS-919-I2-D6	FALSE	inoculated	T3	Organic
ITS-919-I2-P	FALSE	inoculated	T4	Organic
ITS-919-I3-D0	FALSE	inoculated	T1	Organic
ITS-919-I3-D4	FALSE	inoculated	T2	Organic
ITS-919-I3-D6	FALSE	inoculated	T3	Organic
ITS-919-I3-P	FALSE	inoculated	T4	Organic
ITS-919-S1-D0	FALSE	wild	T1	Organic
ITS-919-S1-D6	FALSE	wild	T2	Organic
ITS-919-S1-D8	FALSE	wild	T3	Organic
ITS-919-S1-P	FALSE	wild	T4	Organic
ITS-919-S2-D0	FALSE	wild	T1	Organic
ITS-919-S2-D6	FALSE	wild	T2	Organic
ITS-919-S2-D8	FALSE	wild	T3	Organic
ITS-919-S2-P	FALSE	wild	T4	Organic
ITS-919-S3-D0	FALSE	wild	T1	Organic
ITS-919-S3-D6	FALSE	wild	T2	Organic
ITS-919-S3-D8	FALSE	wild	T3	Organic
ITS-919-S3-P	FALSE	wild	T4	Organic
ITS-EBC-1	TRUE			
ITS-EBC-2	TRUE			
ITS-EBC-3	TRUE			
ITS-EBC-4	TRUE			
ITS-EBC-5	TRUE			
ITS-EBC-6	TRUE			
ITS-EBC-7	TRUE			
ITS-GEM-B1	FALSE	berry	T0	Biodynamic
ITS-GEM-B2	FALSE	berry	T0	Biodynamic
ITS-GEM-B3	FALSE	berry	T0	Biodynamic
ITS-GEM-I1-D0	FALSE	inoculated	T1	Biodynamic
ITS-GEM-I1-D10	FALSE	inoculated	T3	Biodynamic
ITS-GEM-I1-D4	FALSE	inoculated	T2	Biodynamic
ITS-GEM-I1-P	FALSE	inoculated	T4	Biodynamic
ITS-GEM-I2-D0	FALSE	inoculated	T1	Biodynamic
ITS-GEM-I2-D10	FALSE	inoculated	T3	Biodynamic
ITS-GEM-I2-D4	FALSE	inoculated	T2	Biodynamic
ITS-GEM-I2-P	FALSE	inoculated	T4	Biodynamic
ITS-GEM-I3-D0	FALSE	inoculated	T1	Biodynamic
ITS-GEM-I3-D10	FALSE	inoculated	T3	Biodynamic
ITS-GEM-I3-D4	FALSE	inoculated	T2	Biodynamic
ITS-GEM-I3-P	FALSE	inoculated	T4	Biodynamic
ITS-GEM-S1-D0	FALSE	wild	T1	Biodynamic
ITS-GEM-S1-D14	FALSE	wild	T3	Biodynamic
ITS-GEM-S1-D8	FALSE	wild	T2	Biodynamic
ITS-GEM-S1-P	FALSE	wild	T4	Biodynamic
ITS-GEM-S2-D0	FALSE	wild	T1	Biodynamic
ITS-GEM-S2-D14	FALSE	wild	T3	Biodynamic
ITS-GEM-S2-D6	FALSE	wild	T2	Biodynamic
ITS-GEM-S2-P	FALSE	wild	T4	Biodynamic
ITS-GEM-S3-D0	FALSE	wild	T1	Biodynamic
ITS-GEM-S3-D16	FALSE	wild	T3	Biodynamic
ITS-GEM-S3-D8	FALSE	wild	T2	Biodynamic
ITS-GEM-S3-P	FALSE	wild	T4	Biodynamic
ITS-HAW-B1	FALSE	berry	T0	Conventional
ITS-HAW-B2	FALSE	berry	T0	Conventional
ITS-HAW-B3	FALSE	berry	T0	Conventional
ITS-HAW-I1-D0	FALSE	inoculated	T1	Conventional
ITS-HAW-I1-D14	FALSE	inoculated	T3	Conventional
ITS-HAW-I1-D6	FALSE	inoculated	T2	Conventional
ITS-HAW-I1-P	FALSE	inoculated	T4	Conventional
ITS-HAW-I2-D0	FALSE	inoculated	T1	Conventional
ITS-HAW-I2-D12	FALSE	inoculated	T3	Conventional
ITS-HAW-I2-D6	FALSE	inoculated	T2	Conventional
ITS-HAW-I2-P	FALSE	inoculated	T4	Conventional
ITS-HAW-I3-D0	FALSE	inoculated	T1	Conventional
ITS-HAW-I3-D10	FALSE	inoculated	T3	Conventional
ITS-HAW-I3-D4	FALSE	inoculated	T2	Conventional
ITS-HAW-I3-P	FALSE	inoculated	T4	Conventional
ITS-HAW-S1-D0	FALSE	wild	T1	Conventional
ITS-HAW-S1-D20	FALSE	wild	T3	Conventional
ITS-HAW-S1-D8	FALSE	wild	T2	Conventional
ITS-HAW-S1-P	FALSE	wild	T4	Conventional
ITS-HAW-S2-D0	FALSE	wild	T1	Conventional
ITS-HAW-S2-D10	FALSE	wild	T2	Conventional
ITS-HAW-S2-D24	FALSE	wild	T3	Conventional
ITS-HAW-S2-P	FALSE	wild	T4	Conventional
ITS-HAW-S3-D0	FALSE	wild	T1	Conventional
ITS-HAW-S3-D18	FALSE	wild	T3	Conventional
ITS-HAW-S3-D8	FALSE	wild	T2	Conventional
ITS-HAW-S3-P	FALSE	wild	T4	Conventional
